Claim Description,Coverage Code,Accident Source,topic,probability,topic_name
GUEST RAN OVER THE CURB STOP IN THE HANDICAP PARKING SPOT AND THE BUMBER CAME OFF OF HIS CAR.,GD,Car stop,12,0.9351888164633583,Foreign Object in Food
BROKEN WINDSHIELD 2020 SUBARU VIN# 30835 SAFELITE HAS BEEN CALLED TO REPLACE THE GLASS,AP,Windshield,10,0.9208451689790118,Delivery / Door/Window Damage
IT IS ALLEGED THAT WHILE AT THE BAR THE GUEST BIT INTO A GLASS    WHICH WAS IN HER FRUIT SALAD. THERE WERE NO INJURIES REPORTED.,PA,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
A STRAP FELL OFF THE PAPER YARD BAGS THE MEMBER WAS CARRYING DOWN THE MAIN AISLE IN FRONT OF CLOTHING CAUSING HER TO TRIP AND FALL,GB,DEFECTIVE PRODUCT,0,1.0,Rear-End Collision (IV hits OV)
ME WAS OUTSIDE CLEANING THE DRYER HE SEEN THE GUEST LAYING BETWEE  N THE TRASH AND THE PILAR OUTSIDE WITH  HIS CHAIR,GB,Not Otherwise Classified,-1,0.0,Miscellaneous / Noise
OBJECT HIT GLASS,AP,Windshield,0,0.8750553227129759,Rear-End Collision (IV hits OV)
"THE IV WAS TRAVELING ON THE HWY WHEN IT STRUCK A DEER. THE IV     INCURRED A BROKEN FRONT BUMPER, GRILLE, D/S FRONT DOOR AND GRILLE GUARD, BURST P/S FRONT LAMP AND A DENTED HOOD. NO INJURIES WERE   REPORTED.",AP,Struck animal or object,1,0.8707604247179401,Slip / Trip / Fall
"THE OV REAR ENDED THE IV AT THE STOP LIGHT. THE IV INCURRED DAMAGETO THE REAR METAL PIECE OF THE BUMPER, CAMERA AND CAMERA BRACKET. THE OV INCURRED DAMAGE TO THE FRONT HOOD, BUMPER, D/S DOOR,       HEADLIGHT AND GRILLE. THE OV DRIVER REFUSED MEDICAL TREATMENT BY  AMBULANCE.",AP,Vehicle Accident,1,1.0,Slip / Trip / Fall
VI REAR ENDED V2,AB,Struck vehicle in rear,4,1.0,Vehicle Damage While Driving
IV (BUS 60) STUCK ON SNOW PILE/ICE IN PARKING LOT.  DRIVER TRIED  TO GET UNSTUCK AND BUMPED POST BEHIND.,AP,Struck animal or object,-1,0.0,Miscellaneous / Noise
INSURED VEHICLE REVERSING HIT THIRD PARTY VEHICLE CAUSING DAMAGE.,AD,Insured Reversing Hit TP,5,1.0,Third Party Reversing
"CUSTOMER WAS SITTING IN THE CAFE, FELL FORWARD FROM HIS CHAIR AND FELL TO THE GROUND.  HITTING AND CUTTING HIS HEAD.  EMT WAS       CALLED.",GB,Non Liability Cases - Premises Medical,0,1.0,Rear-End Collision (IV hits OV)
CLAIMANT SUFFERED PROPERTY DAMAGE DUE TO DEFECTIVE ROAD SURFACE.,GD,Uneven Surface,-1,0.0,Miscellaneous / Noise
LOCATION: 1137 STAFFORD' TX. CLAIMANT KALIUM SCOTT JR (512) 786   4394 SLIPPED ON WATER,GB,Water,3,0.3928914303565658,Small Property Damage
ROCK FROM ROAD - NO ONE AT FAULTD,AP,Windshield,10,0.716780217195067,Delivery / Door/Window Damage
"WHILE A CUSTOMER WAS PUMPING GAS AT PUMP 1, ANOTHER CUSTOMER      NOTICED GASOLINE WAS LEAKING OUT OF THE CUSTOMER'S VEH. ABOUT 4 5 GALLONS OF GASOLINE WAS SPILLED. NO INJURIES WERE REPORTED.",RB,Not Otherwise Classified,-1,0.0,Miscellaneous / Noise
"THE CLAIMANT ALLEGES HER AND HUSBAND MAY HAVE CONTRACTED FOOD     POISONING FROM ROOM SERVICE.AS A GESTURE OF GOOD FAITH, THE HOTEL REFUNDED THEIR ROOM SERVICE CHARGES ALONG WITH GIVING HIM A FREE  NIGHT STAY AT THE HOTEL FOR FUTURE USE.MEDICAL TREATMENT SOUGHT.",GB,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
"IV DRIVER WAS STOPPED AT A RED LIGHT WHEN OV1 REAR ENDED IV. IV   WAS ON CLINE AVE WHERE IT MEETS RIVER DR. NO INJURIES WERE        REPORTED. IV SUSTAINED REAR END SMASHING DAMAGE AND WAS PUSHED    INTO A OV2 IN FRONT OF IV, CAUSING IV ADDITIONAL WINDSHIELD       DAMAGE, DAMAGE TO BOTH DOORS, AND FRONT END DAMAGE OF MULTIPLE    TYPES. OV1 WAS TOTALED; OV2 SUSTAINED REAR END DAMAGE OF MULTIPLE TYPES.",AP,Other - comprehensive,1,1.0,Slip / Trip / Fall
"NATCO DRIVER WHILE GOING DOWN A ONE-WAY STREET; DID NOT HAVE      ENOUGH ROOM ON EITHER SIDE OF THE VEHICLE TO NAVIGATE, CAUSING HIMTO SIDESWIPE A VEHICLE AND CAUSE MINOR DAMAGE TO ANOTHER VEHICLE.",AD,Sideswipe or lane change,2,0.9101088578319199,Water Damage / Frozen Pipes
"THE RESPONDENTS REFUSED TO RENT TO ME BASED ON MY SOURCE OF FUNDS ON OR AROUND MAY 27, 2022.0N OR ABOUT   MAY 27, 2022,",GB,Not Otherwise Classified,3,0.3648891888687944,Small Property Damage
"MBR CLAIMS SHE TRIPPED OVER PARKING BUMPER, FELL TO GROUND AND    INJURED THE TOP CENTER OF HER FOREHEAD, NOSE, LFT HAND, LFT KNEE.",GB,Car stop,0,0.8502464535853438,Rear-End Collision (IV hits OV)
"A CUSTOMER WAS BUYING BLEACH AT ACO AROUND 4:00 PM, AND THE LID   WASN'T SEALED PROPERLY AND LEAKED ON HIS PANT WHILE HE WAS        SCANNING PRODUCTS.",GD,Container - Packaging Etc,-1,0.0,Miscellaneous / Noise
SHARAELA  RIGGENS IN APT. 2315 REPORTED A PACKAGE MISSING FROM THE PACKAGE ROOM. DHL  SENT HER A PICTURE SHOWING HER PACKAGE IN THE,GD,Theft,-1,0.0,Miscellaneous / Noise
IV WAS IN MOTION WHEN CONTACT WAS MADE WITH THE OV. DAMAGES TO    OV UNKNOWN; ONE CUSTOMER ON BOARD; NO INJURIES.                                                                                     LETTER OF REP: INGERMAN & HORWITZ,AB,Sideswipe or lane change,1,1.0,Slip / Trip / Fall
INSURED VEHICLE COLLIDED THIRD PARTY VEHICLE CAUSING DAMAGE.,AD,Collision,5,0.888671835539838,Third Party Reversing
ONCOMING OV CROSSED INTO IVS LANE AND STRUCK HIM HEAD-ON,AP,Head-on collision,4,0.6905593293198616,Vehicle Damage While Driving
"OV WAS STOPPED, WHEN REAR-ENDED BY IV. THE OV INCURRED A DENT AND CRACKED PAINT TO THE REAR-END. NO INJURIES WERE REPORTED.",AD,Struck vehicle in rear,1,1.0,Slip / Trip / Fall
IV REAR ENDED OV,AD,Struck vehicle in rear,4,1.0,Vehicle Damage While Driving
NO INJURIESHIT A FIXED OBJECT AND IMPACTED THE DRIVER SIDE WHEEL  COVER PANEL.,AP,Our vehicle struck by object or animal,8,0.6038513011860162,Police / Driveway Incidents
IV AND OTHER PARTY VEHICLE WERE TRAVELLING AT UNSAFE SPEED AND DUETO TRAFFIC CONDITIONS COLLIDED,AP,Sideswipe or lane change,1,0.7758500579130246,Slip / Trip / Fall
"OV WAS MERGING IN FRONT OF OUR VEHICLE, WE MADE CONTACT WITH      VEHICLE MERGING.",AD,Sideswipe or lane change,4,0.6500351202215229,Vehicle Damage While Driving
DOME STUCK IN LEFT EAR.,PL,"Alleged design flaw, defect",-1,0.0,Miscellaneous / Noise
"***SUIT REC'D. PLEASE CONTACT ABBEY FOR SUIT PAPERS****-TM WAS    CHANGING WIPER BLADES, SLIPPED AND FELL IN PARKING LOT, INJURING  HIS R SHOULDER.",GB,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
CONTACT KEVIN FARRELL TO GET EXACT LOCATION OF IV FOR             APPRAISAL 512-576-1443,AD,Sideswipe or lane change,-1,0.0,Miscellaneous / Noise
INSTRUCTOR WAS DRIVING BACK TO PENFIELD AFTER A LESSON AND HIS        VEHICLE CAME IN CONTRACT WITH ANOTHER AS HE ATTEMPTED TO      CHANGE TO THE                                                         RIGHT LANE TO GET AROUND A VEHICLE IN THE LEFT LANE THAT WAS  WAITING TO                                                            TURN LEFT,AP,Sideswipe or lane change,2,0.9856648359201933,Water Damage / Frozen Pipes
PLAINTIFF ALLEGES INJURY CAUSED BY EMBEDDED BROKEN ARM OF PARAGARDIUD.,PA,"Alleged product loss, NOC",0,1.0,Rear-End Collision (IV hits OV)
THE INSURED WAS GETTING INTO THE CLAIMANT'S ATTIC WHEN HIS FOOT   WENT THROUGH THE CEILING.,GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
DAMAGE TO MERCEDES SUV FROM CARTS BEING PUSHED.,GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
THE CLIENT WAS WALKING BACK FROM THE SHOP WHEN SHE HAS FALLEN HEADFIRST AFTER TRIPPING OVER A RAISED FOOTPATH.,GB,DEFECTIVE PAVEMENT,0,0.9763640501931025,Rear-End Collision (IV hits OV)
UM CLAIM FOR INJURIES,AU,Sideswipe or lane change,0,1.0,Rear-End Collision (IV hits OV)
MEMBER SLICED RING FINGER ON RIGHT HAND ON A BROKEN JARRITOS GLASSBOTTLE,GB,Alleged improper maintenance - other,0,1.0,Rear-End Collision (IV hits OV)
OV TURNED RIGHT ONTO KATELLA AND IV MERGED INTO OV,AP,Other vehicle turning right,4,0.9389434090611907,Vehicle Damage While Driving
"SP BROKE CLAIMANTS STATUE WHEN DELIVERING PACKAGE. NO INJURY, NO  TOW, NO POLICE",AD,Alleged damage to property of others,7,0.7113315989906687,Food Poisoning / Restaurant Injury
THE ACCIDENT OCCURRED ON SOUTH SHEPHERD DRIVE IN HOUSTON TX.  THISIS A 3 LANE ROAD.  THE INSURED WAS IN THE RIGHT LANE & THE        CLAIMANT WAS TRAVELING IN THE LEFT LANE.  THEY BOTH TRIED TO MERGEINTO THE MIDDLE LANE AT THE SAME TIME & THEY COLLIDED.  THE POLICEOFFICER PUT THE INSURED AT FAULT DUE TO POINTS OF IMPACT.  THE    INSURED DAMAGES WAS DRIVERS SIDE FRONT FENDER & THE CLAIMANTS     DAMAGES WERE TO THE PASSENGER SIDE REAR.,AB,Sideswipe or lane change,5,0.7170762753621739,Third Party Reversing
"SMALL PD:IV WAS TURNING RIGHT ONTO STARK STREET FROM 127TH AVE.,  WHEN THE IV STRUCK A PARKED UNOCCUPIED VEHICLE. THE DRIVERS SIDE  FRONT CORNER PANEL WAS DENTED AND SCRATCHED. NO INJURIES REPORTED.",AL,Struck parked vehicle,1,0.8923051521063355,Slip / Trip / Fall
I WAS DRIVING DOWN THE BELTWAY HEADING BACK TO CEVA IN TRAFFIC.   THE LADY CAME FROM BEHIND ME AND DROVE ON THE SHOULDER TO TRY AND PASS ME IN THE BUMPER TO BUMPER TRAFFIC. SHE ENDED UP CUTTING ME  OFF WHICH RESULTED IN ME REAR ENDING HER.,AD,Struck vehicle in rear,2,0.8882046078660297,Water Damage / Frozen Pipes
ON THE ABOVE DATE AND TIME I RECEIVED A CALL FROM FRONT DESK AGENT REGARDING A GUEST STUCK IN THE ELEVATOR. I MADE SCENE AND MET WIT,GB,"Elevator,escalator,manlift,moving sidewalk",0,0.8791341696699599,Rear-End Collision (IV hits OV)
MEMBER CLAIMS THEIR VEHICLE WAS HIT BY EMPLOYEE MOVING CARTS,GD,Cart,-1,0.0,Miscellaneous / Noise
MEMBER TRIPPED ON A PALLET WHILE LOADING A CASE OF WATER,GB,Pallet,3,0.502671703837079,Small Property Damage
THE CLAIMANT FELL DOWN A STAIRS AFTER THE RAILING BROKE AT THE    INSUREDS LOCATION. THE CLAIMANT HAD FILED A LAWSUIT AGAINST THAT  INSURED THAT WAS LEASING THE BUILDING AT THE TIME OF THE INCIDENT.THE INSURED IS BEING ASKED TO DO A DEPOSITION IN FOR LAWSUIT THAT IS AGAINST THE COMPANY THAT WAS LEASING THE INSURED LOCATION AT   THE TIME OF INCIDENT. THE INSURED HAS QUESTION ABOUT THE          DEPOSITION AN HOW IT SHOULD BE DONE.,GB,Alleged Negligent Act,3,0.35538975171636633,Small Property Damage
CUSTOMER CLAIMS THAT HE DIDNT NOTICE IT ON MONDAY WHEN HE WAS AT  THE STORE AND THAT HIS CAR WAS DIRTY BUT HE BELIEVES THAT A CART  HIT HIS CAR CAUSING A LARGE SCRATCH AND BROKEN MOLDING.,GD,Cart,-1,0.0,Miscellaneous / Noise
CASE # 112729 CONTACTED CFP AND NORTHSTAR AND CRISIS LINE  ROOM 4  23 RHONDA BAILEY SENT ME PHOTOS THAT THE ITEMS THAT SHE LOSS IN,GD,"Plumbing,Heating,AC,Discharge,Overflowing",3,0.3918025532461857,Small Property Damage
"THE IV DRIVER WAS AT A RED LIGHT WAITING TO MAKE A LEFT HAND TURN,AND THOUGHT THE VEHICLE IN FRONT OF HER WAS GOING TO HIT HER SO   SHE BACKED INTO THE OV THAT WAS BEHIND. THE OV HAD A CRACK TO THE REAR BUMPER. THERE WERE NO INJURIES REPORTED.",AD,Struck vehicle in rear,1,0.8269875584217657,Slip / Trip / Fall
CUSTOMER STATED THE METAL PANEL IN THE CANOPY FELL AND HIT THE    CUSTOMER'S CAR.,GD,Non-contact accident,0,0.8584131177505422,Rear-End Collision (IV hits OV)
"A PIPE BURST IN THE ATTIC AND EVERY FLOOR SUFFERED WATER DAMAGE   WITH DAMAGE TO COMPUTERS, PRINTERS, AND FURNITURE.",RC,"Plumbing,Heating,AC,Discharge,Overflowing",3,1.0,Small Property Damage
TRUCK SKID SLIGHTLY INTO THE OTHER LANE TOUCHING VEHICLE ON REAR  BUMPER,AD,Sideswipe or lane change,2,0.8388212011595336,Water Damage / Frozen Pipes
IV RAN STOP SIGN AND STRUCK OV,AB,Intersection accident,4,1.0,Vehicle Damage While Driving
ON 4/27/2023 AT APPROXIMATELY 10:16 AM (CENTER 172) EE WAS DRIVINGIN TRAFFIC AFTER A LIGHT CHANGE AND WAS REAR-ENDED WHILE STOPPING BEHIND A VEHICLE IN FRONT. COV (T1901483) DID NOT COME IN CONTACT WITH THE VEHICLE IN FRONT UPON IMPACT. NO INJURIES. MINOR DAMAGE  TO REAR BUMPER OF COV AND MINOR DAMAGE TO THE FRONT OF THE OV.    DRIVECAM CLIP DZRT80722 RECORDED THE INCIDENT. FOR ACD: CONTACT   CORPORATE FLEET/ASSET STEVE EDWARDS  404-520-5471.,AD,Intersection accident,-1,0.0,Miscellaneous / Noise
"THE IV DRIVER WAS IN THE PROCESS OF SERVICING, AND WHILE BACKING  THE IV UP, THE IV DRIVER MADE CONTACT WITH A PEDESTRIAN.THE       PEDESTRIAN SUSTAINED ABRASIONS. THERE WAS NO INJURIES TO THE IV   DRIVER AND NO DAMAGE TO THE IV.",AB,"Struck pedestrian, bicycle",1,0.8299419133759622,Slip / Trip / Fall
IV ALLEGEDLY REAR ENDED OV,AD,Struck vehicle in rear,4,1.0,Vehicle Damage While Driving
THIRD PARTY VEHICLE HIT INSURED VEHICLE IN REAR CAUSED LOSS AND   DAMAGE.,AU,Hit in Rear by Third Party,5,1.0,Third Party Reversing
GUEST FELL OFF THE TOILET THIS MORNING DUE TO LOOSE TOILET SEAT.  REPORTED AN INFLAMED KNEE BUT DENIED MEDICAL ATTN.,PM,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
"THE DRIVER OF OUR VEHICLE WAS AT A RED LIGHT WHEN THE OTHER       VEHICLE WENT IN REVERSE, HITTING OUR VEHICLE.",AP,Backed into vehicle or object,2,0.9136248542641969,Water Damage / Frozen Pipes
*ECOMM/ON- DA RUBBED MATTRESS AGAINST CEILING. MATTRESS BAG WAS   DIRTY. CALIFORNIA KNOCKDOWN CEILING. UNABLE TO CLEAN WITHOUT RUIN.,PB,e-Commerce,-1,0.0,Miscellaneous / Noise
CLAIMANT DROVE OVER POTHOLE CAUSING VEHICLE DAMAGE.,GD,Pothole,9,1.0,Pothole / Road Hazard
SMALL PD IV DRIVER WAS APPROACHING THECUST LOCATION THAT WAS IN ANALLEY AND THERE WAS AN ELECTRICAL WIRE HANGING LOW DUE TO THE     RECENT WINDS. THE LOW HANGING WIRE ATTACHED TO THE IV. THE FIRE   DEPARTMENT CAME AND DETACHED THE WIRE FROM THE IV. NO INJURIES.,AL,Struck/pulled down wires,6,0.694386891284528,School Bus / Student Accident
"ID WAS PULLING FORWARD IN SNOWY PARKING LOT, TRAILER SLID IN SNOW AND COLLIDED WITH PARKED CV.",AD,Struck parked vehicle,2,0.751414071780788,Water Damage / Frozen Pipes
"NO INJURIES IVD WAS FOLLOWING HIS GPS AND HE END UP GETTING STUCK IN A YARD.WHILE IN THE YARD, HE DAMAGES A TREE AND THE THIRD PARTYWANTS $300 TO REMOVE AND REPLACE THE TREE.",AD,Damage to landscaping,-1,0.0,Miscellaneous / Noise
WHILE REACHING FOR A PACKAGE OF GROUND BEEF THE CUSTOMER STEPPED  OFF HER MOTORIZED CART AND PINNED HER FOOT/ANKLE BETWEEN CASE     GAURD AND MOTORIZED CART.,GB,"Human Action, NOC",0,0.8728740451625292,Rear-End Collision (IV hits OV)
MEMBER WAS WALKING IN THE STORE WHEN A MEMBER IN AN ELECTRIC CART HIT HER IN THE BACK OF THE RIGHT LEG.,GB,Alleged Negligent Act,0,0.8263450080315753,Rear-End Collision (IV hits OV)
"ON THE AFTERNOON OF MAY 05,2023 AT 1240PM SECURITY RECEIVED A CALL FROM A PAST GUEST, SHANTELL WRIGHT 04/28-05/01/23 STATING THAT SH",GB,"Animal, Insect",-1,0.0,Miscellaneous / Noise
VEH 1 WAS ON ROUTE 581 IN MECHANICSBURG PA VEH 2 WAS ON ROUTE 581 INFRONT OF VEH 1 IN MECHANICSBURG PA VEH 2 STOPPED SUDDENLY AND   VEH 1 HIT VEH 2 CAUSING DAMAGE VEH 1 NEED IT NOW VEH 2 OTHER,AD,Sideswipe or lane change,11,0.8849078082862539,Rock / Windshield Crack
"CLAIMANT CHANEL COLON WAS DRIVING BEHIND EM-036 OPERATED BY MIKE  MAKLE.  CLAIMANT STATES THAT OUR DRIVER HIT A BUMP AND A LARGE    CHUNK OF BLOCK CAME FROM THE BED OF THE TRUCK AND STRUCK HER      WINDSHIELD, CRACKING IT.",AD,Windshield,9,0.5155236582993337,Pothole / Road Hazard
SMALL PD. A CUSTOMER IS ALLEGING THE IV DAMAGED THEIR ENCLOSURE   DOOR. NO INJURIES REPORTED.,AL,Struck animal or object,6,1.0,School Bus / Student Accident
WINDSHIELD WAS DAMAGED BY ROCK FROM HIGHWAY,AP,Windshield,10,1.0,Delivery / Door/Window Damage
"THE EE'S HOSE DISCONNECTED, CAUSING GALLONS OF WATER TO SOAK THE  CARPET AND LEAK ONTO THE FLOOR BELOW",GD,Water,3,0.6394635999983395,Small Property Damage
DRIVER DROVE THROUGH AREA OF PARKING LOT UNDER CONSTRUCTION AND SCRATCHED BOTTOM OF CAR,GD,Alleged Negligent Act,12,1.0,Foreign Object in Food
"THE GUEST ERIC ANDREWS, HAD A FEMALE STAYING WITH HIM BY THE NAME OF SHEILA WIGTON, THEY STATE THE THEY HAD PERSONAL BELONGINGS     STOLEN FROM THERE ROOM.",GD,Alleged Negligent Act,0,0.9703022062091793,Rear-End Collision (IV hits OV)
"DARREN NORBERT STATES ""2 BOTTLES OF OLIVE OIL EXPLODED IN HIS     KITCHEN."" DARREN NORBERT CLAIMS INJ'S SLIPPED ON OIL AND FELL.",PA,"Alleged design flaw, defect",0,1.0,Rear-End Collision (IV hits OV)
"CLAIMANT ALLEGES SHE AND HER 4 CHILDREN BECAME ILL AFTER CONSUMING3 DOUBLE QTR POUNDERS, WHICH WERE UNDERCOOKED. THEIR SYMPTOMS WEREVOMITING AND DIARRHEA. THE PURCHASE WAS MADE AT THE DRIVE THRU.",PA,Alleged contamination or spoilage,0,1.0,Rear-End Collision (IV hits OV)
"SMALL PD.AFTER COMING FROM SERVICING A CUSTOMER. WM DRIVER MADE A RIGHT HAND TURN ONTO SNIDER, WHICH IS SOMETHING HE DOES EVERY     THURSDAY, WHEN HE NOTICEDTHAT A POWER LINE LOOKED A LITTLE LOW. ASI GOT CLOSER I SAW THAT IT WAS ACTUALLY LOWER AND TRIED TO SLOW   DOWN AND BRING THE ARMS LOWER TO PREVENT FROM HITTING THE POWER   LINE BUT ENDED UP SNAGGING ANYWAYS. AFTER STOPPING THE TRUCK HE   CALLED HIS ROUTE MANAGER AND DISPATCH. TWO CUSTOMERS CAME OUT TOLDME THAT THE HAD CALLED CENTER POINT A",AL,Struck/pulled down wires,6,0.39828094558913835,School Bus / Student Accident
"ATTORNEY SANFORD HILL (CLAIMANT) IS PURSUING A CLAIM AGAINST THE  CITY OF SUMMERVILLE DUE TO HIS LAW OFFICE BEING FLOODED BY SEWAGE.IN THE ANTE LITEM NOTICE RECEIVED BY THE CITY, IT MENTIONED THE   SEWAGE DRAINAGE SYSTEM WAS SEVERELY CLOGGED.",GD,Back up of sewer,3,0.4118737796516136,Small Property Damage
A CART CREW EMPLOYEE PUSHED A CART INTO A MEMBERS CAR.,GD,Cart,-1,0.0,Miscellaneous / Noise
WE WERE ENTERING IN THE CAR WASH AND WE HEAR A NOISE AND GOT      LOUDER IN THE MIDDLE,GD,Car Wash,-1,0.0,Miscellaneous / Noise
"A GUEST TRIPPED ON A SPEED BUMP WHILE CROSSING THE DRIVEWAY TO SEEA CAR IN THE LOT; WHILE AN ASSOCIATE WAS HELP THE GUEST UP, HIS   WIFE RECORDED THE INCIDENT.",GB,Alleged improper maintenance - other,12,1.0,Foreign Object in Food
IV REAR ENDED OV,AD,Struck vehicle in rear,4,1.0,Vehicle Damage While Driving
DRIVER WAS PUSHING A DOLLY NEXT TO A PARKED CAR AND HIT THE MIRRORWITH THE DOLLY AND CRACKED IT.,GD,Alleged Negligent Act,2,0.609710274946312,Water Damage / Frozen Pipes
ON 12/22/22 SEAN OROURKE WAS IN AN ACCIDENT WHERE HE HIT A BLACK  BOLLARD (SEE ATTACHED PHOTO). SEAN REPORTED THE ACCIDENT TO THE   POLICE AND HIS SUPERVISOR (SEE ATTACHED POLICE REPORT ). HOWEVER  IT SEEMS THE INSURANCE COMPANY WAS NOT NOTIFIED. THANK YOU FOR    YOUR HELP ADDRESSING THIS MATTER. DAN,AP,Struck animal or object,5,1.0,Third Party Reversing
THE IV WAS TRAVELING WEST ON ANDERSON. THE IV WAS ON THE LEFT LANEWHEN THE OV ATTEMPTED TO MAKE A LEFT TURN AND STRUCK THE IV. THE  IV HAS A SCRAPE TO THE MOLDING AND P/S REAR. NO INJURIES WERE     REPORTED.,AP,Sideswipe or lane change,1,0.8166991700644965,Slip / Trip / Fall
OUR DRIVER REAR ENDED ANOTHER VEHICLE,AP,Struck vehicle in rear,2,0.8522434394727075,Water Damage / Frozen Pipes
"NISHANT M, WAS PUSHING CARTS IN PARKING LOT, HE FELT RUSHED BY    ANOTHER CAR AND WENT QUICKLY ACROSS PARKING LOT INFRONT OF SELF   CHECK OUT EXIT HE LOOKED BACK AT CAR AND DID NOT SEE THE BLACK    TRUCK, HIT THE BUMPER.",GD,Alleged Negligent Act,2,0.6910381501779097,Water Damage / Frozen Pipes
THE IV DRIVER AND OV DRIVER WERE TRAVELING ON WASHINGTON          BELTWAY.THE OV DRIVER WAS IN FAR RIGHT LANE.THE IV DRIVER WAS     MERGING RIGHT AND STRUCK OV D/S REAR FENDER.THERE WERE NO REPORTEDINJURIES.,AD,Sideswipe or lane change,1,1.0,Slip / Trip / Fall
ALLEGED: SP VEHICLE TURNING AROUND AND LEFT RUTS IN THE YARD,AD,Damage to landscaping,7,0.9184294999922317,Food Poisoning / Restaurant Injury
BUS AND TPV COLLIDED ON A ROUNDABOUT CAUSING DAMAGED.             BUS REG:   BF68LDZ   TP REG:   HN72EEX,AD,Collision on a Roundabout,8,0.7428333972705251,Police / Driveway Incidents
MR. CHILSON WAS INJURED WHEN HE SLIPPED AND FELL ON THE STAIRCASE THAT LEADS FROM THE TD GARDEN ENTRANCE/EXIT TO THE GROUND FLOOR OF,GB,Stairs,0,1.0,Rear-End Collision (IV hits OV)
"WHILE OPERATING M77, EMPLOYEE WAS TRAVELING THROUGH THE           INTERSECTION, WITH A GREEN LIGHT AND THE FLOW OF TRAFFIC, AND WAS HIT BY A CAR THAT WENT THROUGH THE RED LIGHT.",AN,Vehicle - passenger,2,0.8316803671544727,Water Damage / Frozen Pipes
NOT PROVIDED,AB,Vehicle Accident,-1,0.0,Miscellaneous / Noise
EMPLOYEE HAD A SEVERE ALLERGIC REACTION TO AN UNKNOWN             IRRITANT/SUBSTANCE,NS,Allergic Reaction,0,1.0,Rear-End Collision (IV hits OV)
A MYBAR SELECTOR WAS SELECTING IN SLOT 5770711 WHEN HE            ALLEGEDLY CUT HIS THUMB ON BROKEN GLASS IN THE SLOT,GB,"Glass, ceramic, NOC",0,1.0,Rear-End Collision (IV hits OV)
"**ECOMM (AB) VENDOR, THE SERVICE MAN SENT TO REPAIR THE DISHWASHERCAUSED PROPERTY DAMAGE",PB,e-Commerce,-1,0.0,Miscellaneous / Noise
"ID, DANNY BELL, REAR ENDED OV. OV WAS STOPPED ON OTHER SIDE OF    HILL, INSURED DID NOT SEE BRAKE LIGHTS UNTIL TOO LATE.",AP,Struck vehicle in rear,-1,0.0,Miscellaneous / Noise
INSURED VEHICLE WAS RESPONSIBLE AS THEY COLLIDED WITH THIRD PARTY,AD,Insured Hit Parked TP,5,1.0,Third Party Reversing
ASPEN RUN IN DATA - ESCAPE OF WATER,RB,Not Otherwise Classified,3,0.7626892527766101,Small Property Damage
"OV (RENTAL) WAS PARKED AT A HOTEL WHEN IV BACKED INTO IT. THE     RENTAL SUSTAINED DAMAGE, A DENT, TO THE DRIVER 'S SIDE 1/4 PANEL",AD,Backed into vehicle or object,13,0.9564871188233525,Two-Vehicle Parked Collision
"SMALL PD THE IV DRIVER WAS SERVICING CUSTOMER CONTAINERS ON THE   STREET, WHEN WIRES CAUGHT ONTO THE IV AND CAUSED SIDING           ON A HOUSE TO INCUR DAMAGE WHEN THE WIRES WERE PULLED BY THE IV.  THERE WERE NO INJURIES REPORTED.",AL,"Struck building, overhang",6,0.6948011053092553,School Bus / Student Accident
"THE IV DRIVER LEFT THE IV IN DRIVE AND RUNNING WHEN EXITING THE   IV. THE IV STRUCK A BLOCK WALL AROUND THE DUMPSTER, KNOCKING IT   OVER. THE FRONT BUMPER HAS MINOR SCRATCHES, AND THE FENDER AROUND THE P/S IS CRUNCHED. NO INJURIES REPORTED.",AD,Struck animal or object,1,1.0,Slip / Trip / Fall
"UPS VEHICLE WAS MAKING A RIGHT TURN, WHILE COMPLETING THE TURN THEREAR BEGAN TO SLID AND THE REAR OF THE PACKAGE CAR STRUCK THE     FENCE AROUND THE PROPERTY OF THE CORNER HOUSE",AD,Other vehicle turning right,-1,0.0,Miscellaneous / Noise
"THE IV WAS IN A COLLISION THAT CAUSED BUMPER, HOOD DAMAGE. THERE  WERE NO INJURIESREPORTED.",AP,Alleged improper maintenance - other,1,0.9995610283614631,Slip / Trip / Fall
PLAINTIFF ALLEGES INJURY CAUSED BY EMBEDDED BROKEN ARM OF PARAGARDIUD.,PA,"Alleged product loss, NOC",0,0.9272787573706524,Rear-End Collision (IV hits OV)
"CLAIMANT ALLEGES THAT WHILE HIS VEHICLE WAS PARKED IN THE PARKING LOT, THE WIND BLEW THE CURBSIDE PICKUP SIGN ONTO IT. HIS VEHICLE  INCURRED DAMAGE.NO INJURIES REPORTED.",GD,Alleged Negligent Act,12,1.0,Foreign Object in Food
